AÑO FISCAL;SALARIO MENSUAL;RETENCION MENSUAL
2017;60400;4275.85
2017;60450;4285.85
2017;60500;4295.85
2017;60550;4305.85
2017;60600;4315.85
2017;60650;4325.85
2017;60700;4335.85
2017;60750;4345.85
2017;60800;4355.85
2017;60850;4365.85
2017;60900;4375.85
2017;60950;4385.85
2017;61000;4395.85
2017;61050;4405.85
2017;61100;4415.85
2017;61150;4425.85
2017;61200;4435.85
2017;61250;4445.85
2017;61300;4455.85
2017;61350;4465.85
2017;61400;4475.85
2017;61450;4485.85
2017;61500;4495.85
2017;61550;4505.85
2017;61600;4515.85
2017;61650;4525.85
2017;61700;4535.85
2017;61750;4545.85
2017;61800;4555.85
2017;61850;4565.85
2017;61900;4575.85
2017;61950;4585.85
2017;62000;4595.85
2017;62050;4605.85
2017;62100;4615.85
2017;62150;4625.85
2017;62200;4635.85
2017;62250;4645.85
2017;62300;4655.85
2017;62350;4665.85
2017;62400;4675.85
2017;62450;4685.85
2017;62500;4695.85
2017;62550;4705.85
2017;62600;4715.85
2017;62650;4725.85
2017;62700;4735.85
2017;62750;4745.85
2017;62800;4755.85
2017;62850;4765.85
2017;62900;4775.85
2017;62950;4785.85
2017;63000;4795.85
2017;63050;4805.85
2017;63100;4815.85
2017;63150;4825.85
2017;63200;4835.85
2017;63250;4845.85
2017;63300;4855.85
2017;63350;4865.85
2017;63400;4875.85
2017;63450;4885.85
2017;63500;4895.85
2017;63550;4905.85
2017;63600;4915.85
2017;63650;4925.85
2017;63700;4935.85
2017;63750;4945.85
2017;63800;4955.85
2017;63850;4965.85
2017;63900;4975.85
2017;63950;4985.85
2017;64000;4995.85
2017;64050;5005.85
2017;64100;5015.85
2017;64150;5025.85
2017;64200;5035.85
2017;64250;5045.85
2017;64300;5055.85
2017;64350;5065.85
2017;64400;5075.85
2017;64450;5085.85
2017;64500;5095.85
2017;64550;5105.85
2017;64600;5115.85
2017;64650;5125.85
2017;64700;5135.85
2017;64750;5145.85
2017;64800;5155.85
2017;64850;5165.85
2017;64900;5175.85
2017;64950;5185.85
2017;65000;5195.85
2017;65050;5205.85
2017;65100;5215.85
2017;65150;5225.85
2017;65200;5235.85
2017;65250;5245.85
2017;65300;5255.85
2017;65350;5265.85
2017;65400;5275.85
2017;65450;5285.85
2017;65500;5295.85
2017;65550;5305.85
2017;65600;5315.85
2017;65650;5325.85
2017;65700;5335.85
2017;65750;5345.85
2017;65800;5355.85
2017;65850;5365.85
2017;65900;5375.85
2017;65950;5385.85
2017;66000;5395.85
2017;66050;5405.85
2017;66100;5415.85
2017;66150;5425.85
2017;66200;5435.85
2017;66250;5445.85
2017;66300;5455.85
2017;66350;5465.85
2017;66400;5475.85
2017;66450;5485.85
2017;66500;5495.85
2017;66550;5505.85
2017;66600;5515.85
2017;66650;5525.85
2017;66700;5535.85
2017;66750;5545.85
2017;66800;5555.85
2017;66850;5565.85
2017;66900;5575.85
2017;66950;5585.85
2017;67000;5595.85
2017;67050;5605.85
2017;67100;5615.85
2017;67150;5625.85
2017;67200;5635.85
2017;67250;5645.85
2017;67300;5655.85
2017;67350;5665.85
2017;67400;5675.85
2017;67450;5685.85
2017;67500;5695.85
2017;67550;5705.85
2017;67600;5715.85
2017;67650;5725.85
2017;67700;5735.85
2017;67750;5745.85
2017;67800;5755.85
2017;67850;5765.85
2017;67900;5775.85
2017;67950;5785.85
2017;68000;5795.85
2017;68050;5805.85
2017;68100;5815.85
2017;68150;5825.85
2017;68200;5835.85
2017;68250;5845.85
2017;68300;5855.85
2017;68350;5865.85
2017;68400;5875.85
2017;68450;5885.85
2017;68500;5895.85
2017;68550;5905.85
2017;68600;5915.85
2017;68650;5925.85
2017;68700;5935.85
2017;68750;5945.85
2017;68800;5955.85
2017;68850;5965.85
2017;68900;5975.85
2017;68950;5985.85
2017;69000;5995.85
2017;69050;6005.85
2017;69100;6015.85
2017;69150;6025.85
2017;69200;6035.85
2017;69250;6045.85
2017;69300;6055.85
2017;69350;6065.85
2017;69400;6075.85
2017;69450;6085.85
2017;69500;6095.85
2017;69550;6105.85
2017;69600;6115.85
2017;69650;6125.85
2017;69700;6135.85
2017;69750;6145.85
2017;69800;6155.85
2017;69850;6165.85
2017;69900;6175.85
2017;69950;6185.85
2017;70000;6195.85
2017;70050;6205.85
2017;70100;6215.85
2017;70150;6225.85
2017;70200;6235.85
2017;70250;6245.85
2017;70300;6255.85
2017;70350;6265.85
2017;70400;6275.85
2017;70450;6285.85
2017;70500;6295.85
2017;70550;6305.85
2017;70600;6315.85
2017;70650;6325.85
2017;70700;6335.85
2017;70750;6345.85
2017;70800;6355.85
2017;70850;6365.85
2017;70900;6375.85
2017;70950;6385.85
2017;71000;6395.85
2017;71050;6405.85
2017;71100;6415.85
2017;71150;6425.85
2017;71200;6435.85
2017;71250;6445.85
2017;71300;6455.85
2017;71350;6465.85
2017;71400;6475.85
2017;71450;6485.85
2017;71500;6495.85
2017;71550;6505.85
2017;71600;6515.85
2017;71650;6525.85
2017;71700;6535.85
2017;71750;6545.85
2017;71800;6555.85
2017;71850;6565.85
2017;71900;6575.85
2017;71950;6585.85
2017;72000;6595.85
2017;72050;6605.85
2017;72100;6615.85
2017;72150;6625.85
2017;72200;6635.85
2017;72250;6645.85
2017;72300;6657.94
2017;72350;6670.44
2017;72400;6682.94
2017;72450;6695.44
2017;72500;6707.94
2017;72550;6720.44
2017;72600;6732.94
2017;72650;6745.44
2017;72700;6757.94
2017;72750;6770.44
2017;72800;6782.94
2017;72850;6795.44
2017;72900;6807.94
2017;72950;6820.44
2017;73000;6832.94
2017;73050;6845.44
2017;73100;6857.94
2017;73150;6870.44
2017;73200;6882.94
2017;73250;6895.44
2017;73300;6907.94
2017;73350;6920.44
2017;73400;6932.94
2017;73450;6945.44
2017;73500;6957.94
2017;73550;6970.44
2017;73600;6982.94
2017;73650;6995.44
2017;73700;7007.94
2017;73750;7020.44
2017;73800;7032.94
2017;73850;7045.44
2017;73900;7057.94
2017;73950;7070.44
2017;74000;7082.94
2017;74050;7095.44
2017;74100;7107.94
2017;74150;7120.44
2017;74200;7132.94
2017;74250;7145.44
2017;74300;7157.94
2017;74350;7170.44
2017;74400;7182.94
2017;74450;7195.44
2017;74500;7207.94
2017;74550;7220.44
2017;74600;7232.94
2017;74650;7245.44
2017;74700;7257.94
2017;74750;7270.44
2017;74800;7282.94
2017;74850;7295.44
2017;74900;7307.94
2017;74950;7320.44
2017;75000;7332.94
2017;75050;7345.44
2017;75100;7357.94
2017;75150;7370.44
2017;75200;7382.94
2017;75250;7395.44
2017;75300;7407.94
2017;75350;7420.44
2017;75400;7432.94
2017;75450;7445.44
2017;75500;7457.94
2017;75550;7470.44
2017;75600;7482.94
2017;75650;7495.44
2017;75700;7507.94
2017;75750;7520.44
2017;75800;7532.94
2017;75850;7545.44
2017;75900;7557.94
2017;75950;7570.44
2017;76000;7582.94
2017;76050;7595.44
2017;76100;7607.94
2017;76150;7620.44
2017;76200;7632.94
2017;76250;7645.44
2017;76300;7657.94
2017;76350;7670.44
2017;76400;7682.94
2017;76450;7695.44
2017;76500;7707.94
2017;76550;7720.44
2017;76600;7732.94
2017;76650;7745.44
2017;76700;7757.94
2017;76750;7770.44
2017;76800;7782.94
2017;76850;7795.44
2017;76900;7807.94
2017;76950;7820.44
2017;77000;7832.94
2017;77050;7845.44
2017;77100;7857.94
2017;77150;7870.44
2017;77200;7882.94
2017;77250;7895.44
2017;77300;7907.94
2017;77350;7920.44
2017;77400;7932.94
2017;77450;7945.44
2017;77500;7957.94
2017;77550;7970.44
2017;77600;7982.94
2017;77650;7995.44
2017;77700;8007.94
2017;77750;8020.44
